investigation	investigation#	investigation+N+SG
primary	primary#	primary+N+SG
election	election#	election+N+SG
evidence	evidence#	evidence+N+SG
irregularities	irregularity^s#	irregularity+N+PL
place	place#	place+N+SG
jury	jury#	jury+N+SG
presentments	presentment^s#	presentment+N+PL
charge	charge#	charge+N+SG
election	election#	election+N+SG
praise	praise#	praise+N+SG
thanks	thank^s#	thank+N+PL
manner	manner#	manner+N+SG
election	election#	election+N+SG
term	term#	term+N+SG
jury	jury#	jury+N+SG
reports	report^s#	report+N+PL
irregularities	irregularity^s#	irregularity+N+PL
primary	primary#	primary+N+SG
handful	handful#	handful+N+SG
reports	report^s#	report+N+PL
jury	jury#	jury+N+SG
interest	interest#	interest+N+SG
election	election#	election+N+SG
number	number#	number+N+SG
voters	voter^s#	voter+N+PL
size	size#	size+N+SG
city	city#	city+N+SG
jury	jury#	jury+N+SG
registration	registration#	registration+N+SG
election	election#	election+N+SG
laws	law^s#	law+N+PL
legislators	legislator^s#	legislator+N+PL
laws	law^s#	law+N+PL
end	end#	end+N+SG
jury	jury#	jury+N+SG
number	number#	number+N+SG
topics	topic^s#	topic+N+PL
departments	department^s#	department+N+PL
practices	practice^s#	practice+N+PL
interest	interest#	interest+N+SG
governments	government^s#	government+N+PL
jury	jury#	jury+N+SG
offices	office^s#	office+N+PL
efficiency	efficiency#	efficiency+N+SG
cost	cost#	cost+N+SG
administration	administration#	administration+N+SG
jury	jury#	jury+N+SG
personnel	personnel#	personnel+N+SG
result	result#	result+N+SG
city	city#	city+N+SG
personnel	personnel#	personnel+N+SG
policies	policy^s#	policy+N+PL
city	city#	city+N+SG
steps	step^s#	step+N+PL
problem	problem#	problem+N+SG
Implementation	implementation#	implementation+N+SG
automobile	automobile#	automobile+N+SG
title	title#	title+N+SG
law	law#	law+N+SG
jury	jury#	jury+N+SG
funds	fund^s#	fund+N+PL
date	date#	date+N+SG
implementation	implementation#	implementation+N+SG
law	law#	law+N+SG
jury	jury#	jury+N+SG
swipe	swipe#	swipe+N+SG
handling	handling#	handling+N+SG
funds	fund^s#	fund+N+PL
child	child#	child+N+SG
welfare	welfare#	welfare+N+SG
services	service^s#	service+N+PL
homes	home^s#	home+N+PL
items	item^s#	item+N+PL
assistance	assistance#	assistance+N+SG
program	program#	program+N+SG
jury	jury#	jury+N+SG
funds	fund^s#	fund+N+PL
welfare	welfare#	welfare+N+SG
